Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;109033;Для дома;Спирали от комаров Чистый Дом 10шт;шт.;9,000;75,00;675,00;
;;;1115640;Химия/Для себя/Мыло;Полет печенье сдобное 200гр;шт.;6,000;148,57;891,42;
;;;739;Весовые товары/Конфеты;Конфеты Ваше величество;кг;1,624;435,00;706,44;
;;;1118214;Для дома/Мешки для мусора;Мусорные пакеты 60 л с завязками;шт.;10,000;58,05;580,50;
;;;1118638;Напитки/Соки/Энергетик;Адреналин Раш лайм 0.449 мл;шт.;3,000;119,00;357,00;
;;;1119572;Химия/Для себя;Пемза белая;шт.;6,000;70,00;420,00;
;;;2000999844287;Детские товары;Гель для стирки Юкосан 2 л хлопок;шт.;2,000;526,00;1052,00;
;;;823;Фрукты/Овощи/Зелень/Зелень;Базилик;шт.;6,000;25,00;150,00;
;;;1116749;Химия/Для себя/Прокладки;Мыло Дав 90 гр т;шт.;13,000;70,00;910,00;
;;;1118784;Химия/Для себя/Полость рта;Тряпки махровые 5 шт;шт.;3,000;103,00;309,00;
;;;2000999844182;Сладкое/Прочее/Милка;Сладкий хот дог зефир;шт.;28,000;16,50;462,00;
;;;95308;Напитки/Соки;Фанта 2л;шт.;14,000;155,00;2170,00;
;;;100575;Продукты Питания/Молочка/Сгущенка;Молоко сгущеное 380гр Премиум;шт.;3,000;156,00;468,00;
;;;101466;Продукты Питания/Молочка/Йогурт/Пудинг;Гранд коктейль 260гр 4пр;шт.;1,000;117,83;117,83;
;;;108572;Фрукты/Сухофрукты;Манго Сушенный 250гр Короа Кавказа;шт.;2,000;229,00;458,00;
;;;109652;Продукты Питания/Павильное Питание;Булочки Для Бургера 3шт Мираторг;шт.;1,000;51,99;51,99;
;;;1118467;Электроника;Шнур х115;шт.;1,000;180,00;180,00;
;;;1118673;Игрушки/Машинки;Груша для бокса маленькая;шт.;1,000;900,00;900,00;
